STATE,NUM_EVENTS,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOTAL_DAMAGE,TOTAL_INJURIES,TOTAL_DEATHS,TOTAL_REGISTRATIONS,TOTAL_MILES_DRIVEN,TOTAL_ROAD_LENGTH,POPULATION,REGION,DIVISION,YEAR
FLORIDA,287,20,0,1,0,1675620.0,0.0,1675620.0,20,1,10949806,109997,108085,12937926,SOUTH,SOUTH ATLANTIC,1990
GEORGIA,645,58,0,4,0,14802750.0,0.0,14802750.0,58,4,5489144,72746,109601,6478216,SOUTH,SOUTH ATLANTIC,1990
IDAHO,30,0,0,0,0,305000.0,0.0,305000.0,0,0,1053538,9849,62435,1006749,WEST,MOUNTAIN,1990
ILLINOIS,275,379,0,32,0,286205000.0,0.0,286205000.0,379,32,7873189,83334,135944,11430602,MIDWEST,EAST NORTH CENTRAL,1990
INDIANA,348,235,0,12,0,95808030.0,0.0,95808030.0,235,12,4365760,53697,91908,5544159,MIDWEST,EAST NORTH CENTRAL,1990
IOWA,336,22,0,0,0,134625780.0,0.0,134625780.0,22,0,2631973,22993,112541,2776755,MIDWEST,WEST NORTH CENTRAL,1990
KANSAS,623,123,0,2,0,225570000.0,0.0,225570000.0,123,2,2012353,22849,133578,2477574,MIDWEST,WEST NORTH CENTRAL,1990
KENTUCKY,210,23,0,0,0,34427500.0,0.0,34427500.0,23,0,2909408,33639,69668,3685296,SOUTH,EAST SOUTH CENTRAL,1990
LOUISIANA,424,56,0,1,0,2161750.0,0.0,2161750.0,56,1,2994763,37667,58620,4219973,SOUTH,WEST SOUTH CENTRAL,1990
MAINE,36,0,0,0,0,0.0,0.0,0.0,0,0,976610,11871,22389,1227928,NORTHEAST,NEW ENGLAND,1990
MARYLAND,110,75,0,2,0,28352500.0,0.0,28352500.0,75,2,3606520,40536,28752,4781468,SOUTH,SOUTH ATLANTIC,1990
MASSACHUSETTS,12,0,0,0,0,5030.0,0.0,5030.0,0,0,3725798,46130,34076,6016425,NORTHEAST,NEW ENGLAND,1990
MICHIGAN,143,7,0,1,0,7967500.0,0.0,7967500.0,7,1,7209217,81091,117449,9295297,MIDWEST,EAST NORTH CENTRAL,1990
MINNESOTA,217,4,0,0,0,302500.0,0.0,302500.0,4,0,3507937,38946,129397,4375099,MIDWEST,WEST NORTH CENTRAL,1990
MISSISSIPPI,332,71,0,5,0,10580000.0,0.0,10580000.0,71,5,1875445,24398,72520,2573216,SOUTH,EAST SOUTH CENTRAL,1990
MISSOURI,190,45,0,0,0,84380250.0,0.0,84380250.0,45,0,3904679,50883,120527,5117073,MIDWEST,WEST NORTH CENTRAL,1990
MONTANA,71,1,0,0,0,2500.0,0.0,2500.0,1,0,783153,8332,71387,799065,WEST,MOUNTAIN,1990
NEBRASKA,313,10,0,0,0,267846080.0,0.0,267846080.0,10,0,1383846,13958,92403,1578385,MIDWEST,WEST NORTH CENTRAL,1990
NEVADA,7,1,0,1,0,0.0,0.0,0.0,1,1,853444,10215,45524,1201833,WEST,MOUNTAIN,1990
NEW HAMPSHIRE,15,0,0,0,0,0.0,0.0,0.0,0,0,945743,9844,14836,1109252,NORTHEAST,NEW ENGLAND,1990
NEW JERSEY,102,39,0,0,0,6000000.0,0.0,6000000.0,39,0,5652382,58923,34252,7730188,NORTHEAST,MIDDLE ATLANTIC,1990
NEW MEXICO,71,3,0,1,0,0.0,0.0,0.0,3,1,1301261,16148,54736,1515069,WEST,MOUNTAIN,1990
NEW YORK,386,48,0,3,0,4625000.0,0.0,4625000.0,48,3,10196153,106902,111242,17990455,NORTHEAST,MIDDLE ATLANTIC,1990
